#Solver type:
rMOCO-S_tda
#Solver status:
Success
#Number of nondominated points:
25
#Number of models solved:
90
#Elapsed time (seconds):
1.934
#Ideal point:
3976 4115 4035 
#Incumbent nadir point:
3175 3058 3192 
#The set of nondominated points:
3683 3794 3724 
3175 3058 4035 
3270 3343 4001 
3410 3556 3921 
3307 3674 3840 
3275 4115 3192 
3428 4054 3454 
3473 3944 3605 
3433 3679 3836 
3542 3364 3969 
3528 3472 3944 
3543 4068 3329 
3583 3612 3858 
3644 3972 3501 
3599 3920 3620 
3744 3455 3872 
3707 3586 3846 
3759 3916 3364 
3774 3913 3506 
3831 3743 3670 
3814 3575 3781 
3976 3423 3388 
3965 3498 3552 
3940 3618 3424 
3940 3610 3587 
