#Solver type:
rMOCO-S_sba
#Solver status:
AbortPointLimit
#Number of nondominated points:
25
#Number of models solved:
256
#Elapsed time (seconds):
7.234
#Ideal point:
2070 2154 2038 2098 
#Incumbent nadir point:
1504 1603 1569 1615 
#The set of nondominated points:
1893 1954 1846 1904 
1674 2154 1647 1845 0.35168
1748 1834 1730 2098 0.349369
1504 1618 2038 1649 0.334587
2070 1603 1569 1615 0.312644
1683 1732 2014 1801 0.292754
1631 1786 2010 1749 0.285782
1597 1744 2017 1807 0.284523
2052 1658 1648 1786 0.280841
2051 1809 1573 1679 0.279075
2045 1667 1724 1759 0.268474
1703 1990 1761 2053 0.268312
1728 1896 1886 2051 0.264709
1818 2098 1713 1916 0.253188
1887 1828 1781 2042 0.245506
2030 1818 1674 1833 0.241972
2029 1830 1710 1832 0.238719
1695 2089 1790 1842 0.237359
1812 1729 1980 1716 0.23349
1686 1836 1977 1930 0.228261
1848 1961 1771 2041 0.223289
2018 1933 1602 1675 0.218012
1767 1856 1962 1755 0.202116
1849 1700 1962 1829 0.202116
1818 2021 1748 2028 0.201665
