#Solver type:
rMOCO-S_sba
#Solver status:
AbortPointLimit
#Number of nondominated points:
25
#Number of models solved:
179
#Elapsed time (seconds):
8.953
#Ideal point:
3976 4115 4035 
#Incumbent nadir point:
3175 3058 3192 
#The set of nondominated points:
3683 3794 3724 
3175 3058 4035 0.304314
3275 4115 3192 0.303633
3976 3423 3388 0.291973
3455 3262 4007 0.276911
3270 3343 4001 0.269575
3542 4069 3232 0.260114
3938 3539 3640 0.246572
3922 3669 3476 0.232678
3449 4034 3472 0.227001
3492 3490 3944 0.215254
3662 3410 3925 0.196659
3648 4001 3434 0.195781
3410 3556 3921 0.192744
3854 3734 3658 0.170377
3717 3967 3407 0.163614
3839 3829 3398 0.151315
3637 3564 3878 0.144463
3604 3573 3870 0.141855
3595 3942 3578 0.139962
3816 3550 3794 0.132503
3541 3624 3853 0.126194
3716 3932 3560 0.120543
3806 3854 3528 0.113472
3307 3674 3840 0.11158
