82
6.79
187
830	849	997
837	861	995
876	888	990
834	895	986
841	907	984
848	902	974
855	914	972
789	935	971
880	852	968
813	921	968
838	930	966
820	933	966
852	948	963
859	960	961
898	892	960
868	1026	958
873	923	956
902	938	949
872	1072	947
916	902	945
934	871	935
941	883	933
874	952	933
923	908	931
911	1017	931
948	846	927
914	946	922
927	954	920
928	909	917
894	1076	917
938	906	915
939	921	911
959	887	906
973	899	905
942	952	904
924	955	904
933	1021	901
880	1084	901
972	1048	896
937	1067	890
915	1079	873
879	1086	873
902	1088	871
975	899	868
974	927	867
979	917	862
992	925	860
993	880	857
988	941	845
998	772	844
945	1079	844
977	955	840
999	943	838
978	969	837
1004	921	836
1011	933	834
982	951	829
1018	896	828
923	1091	827
976	1004	824
990	951	814
980	1050	813
967	1059	811
986	986	809
989	969	807
994	959	802
1007	967	800
987	1030	790
1020	826	782
992	997	780
1014	985	778
1026	975	774
1033	938	768
1007	989	765
994	1021	745
1035	817	739
999	1006	722
1034	943	718
1053	870	716
1015	1024	701
1022	987	695
1044	892	646
