52
3.62
116
912	663	1059
906	696	1041
935	720	1034
961	677	1025
945	696	1021
968	731	1019
911	738	1015
957	735	1014
915	760	1012
958	735	1008
957	778	1007
960	798	1004
1006	795	1003
1007	781	1003
1017	745	985
1018	745	979
994	818	976
923	844	969
1012	778	961
998	798	961
972	829	959
933	837	949
993	835	945
980	841	945
944	847	940
1000	815	939
1035	773	934
1007	787	931
983	841	924
904	857	919
916	848	914
1004	857	911
1027	777	904
1011	795	894
952	859	894
926	864	894
913	870	894
916	865	889
903	871	889
1008	834	888
983	874	886
973	875	881
947	880	881
937	881	876
857	887	874
956	901	866
906	904	830
960	877	814
913	904	800
903	905	795
891	915	783
881	916	778
